Customer ID,Customer Name,Date of Birth,Marital Status,Date of First Purchase,Gender,Yearly Income
RH-19495,Rick Hansen,3/9/1983,M,1482969600,M,90000
JR-16210,Justin Ritter,25/9/1961,S,1544140800,M,60000
CR-12730,Craig Reiter,23/11/1998,M,1429228800,M,60000
KM-16375,Katherine Murray,4/8/1987,S,1439683200,F,70000
RH-9495,Rick Hansen,30/10/1979,S,1550880000,F,80000
JM-15655,Jim Mitchum,23/1/1972,S,1556755200,M,70000
TS-21340,Toby Swindell,5/10/1964,S,1462579200,F,70000
MB-18085,Mick Brown,27/1/1996,M,1522195200,M,60000
JW-15220,Jane Waco,27/9/2004,S,1428883200,F,60000
JH-15985,Joseph Holt,16/8/1950,S,1427500800,M,70000
GM-14695,Greg Maxwell,29/11/1956,S,1456531200,F,70000
AJ-10780,Anthony Jacobs,13/1/1999,M,1439596800,M,60000
MM-7260,Magdelene Morse,15/8/1966,M,1495670400,F,100000
VF-21715,Vicky Freymann,6/12/1988,M,1462060800,M,100000
PF-19120,Peter Fuller,5/4/1974,S,1451865600,F,100000
BP-11185,Ben Peterman,22/4/1951,S,1562544000,F,30000
TB-21175,Thomas Boland,13/6/1970,M,1526688000,M,30000
PJ-18835,Patrick Jones,13/5/1991,S,1467763200,F,20000
JS-15685,Jim Sink,9/3/1973,S,1536105600,M,30000
RH-9555,Ritsa Hightower,2/12/1983,S,1431993600,M,40000
AB-600,Ann Blume,12/7/1962,S,1459814400,M,40000
SA-20830,Sue Ann Reed,15/7/1992,S,1422835200,F,40000
JK-15325,Jason Klamczynski,17/9/1980,M,1511049600,M,40000
LB-16795,Laurel Beltran,4/7/1985,M,1541808000,M,40000
NP-18325,Naresj Patel,8/11/1952,M,1423440000,M,60000
VD-21670,Valerie Dominguez,20/6/1991,M,1497744000,M,10000
PB-19210,Phillip Breyer,5/12/1951,S,1498089600,M,30000
EB-14110,Eugene Barchas,3/12/1991,M,1505088000,M,30000
KF-16285,Karen Ferguson,5/5/1968,M,1510099200,F,30000
BP-11230,Benjamin Patterson,14/6/1981,M,1543795200,M,30000
RR-19525,Rick Reed,15/12/1994,M,1526947200,F,10000
BS-11365,Bill Shonely,24/3/1993,M,1435449600,F,20000
JE-15745,Joel Eaton,20/9/1952,M,1559779200,F,20000
DP-13105,Dave Poirier,19/2/1996,M,1552435200,M,20000
NP-18700,Nora Preis,18/2/1968,M,1537488000,F,20000
AH-30,Aaron Hawkins,19/11/1977,M,1528588800,F,10000
DM-13015,Darrin Martin,31/5/2005,M,1506384000,F,60000
GT-14635,Grant Thornton,6/2/1972,S,1487635200,F,40000
PO-18865,Patrick O'Donnell,16/12/1977,M,1538870400,F,10000
DL-12865,Dan Lawera,8/9/1981,M,1530921600,M,30000
JB-16000,Joy Bell-,25/10/1954,M,1464652800,M,30000
BF-11005,Barry Franz,14/12/1978,M,1566259200,F,60000
VG-21805,Vivek Grady,31/8/1964,M,1485820800,F,70000
GT-14710,Greg Tran,24/8/1981,M,1481760000,M,60000
ZC-21910,Zuschuss Carroll,30/12/1983,M,1437091200,M,20000
SC-20095,Sanjit Chand,2/2/1951,S,1474588800,M,30000
EB-13840,Ellis Ballard,14/6/1990,M,1525651200,F,30000
AP-10915,Arthur Prichep,22/8/1959,M,1513036800,F,30000
SW-20275,Scott Williamson,23/3/1994,M,1480118400,M,30000
JH-15820,John Huston,21/3/1951,S,1492300800,F,40000
LC-16885,Lena Creighton,27/9/1990,M,1463616000,M,30000
TG-11640,Trudy Glocke,10/1/1999,S,1534291200,M,30000
HR-14830,Harold Ryan,31/3/1976,S,1530921600,F,40000
DG-3300,Deirdre Greer,31/7/1950,M,1540684800,F,60000
SG-20470,Sheri Gordon,8/2/1983,M,1493769600,F,40000
FH-14365,Fred Hopkins,25/6/1991,M,1539302400,M,40000
GP-14740,Guy Phonely,26/11/1993,M,1527120000,F,40000
MW-18220,Mitch Webber,15/6/1959,M,1427241600,M,70000
PO-18850,Patrick O'Brill,28/3/1996,M,1454803200,M,80000
CS-12460,Chuck Sachs,27/3/1954,S,1439424000,F,80000
KD-16495,Keith Dawkins,28/6/1983,M,1548720000,M,80000
MS-17980,Michael Stewart,18/4/2001,M,1430352000,M,80000
KC-16675,Kimberly Carter,25/12/2002,M,1525910400,M,40000
DB-13405,Denny Blanton,26/10/1992,S,1464480000,F,40000
JD-15895,Jonathan Doherty,31/5/1957,M,1550448000,M,40000
DK-13090,Dave Kipp,21/9/1956,M,1461715200,F,60000
CS-11845,Cari Sayre,6/6/1995,M,1507161600,F,70000
EM-14200,Evan Minnotte,3/7/1994,S,1500076800,M,60000
DW-3480,Dianna Wilson,25/6/1957,S,1551312000,F,80000
AS-10225,Alan Schoenberger,15/6/1952,S,1424131200,F,80000
ST-20530,Shui Tom,4/1/1951,M,1426204800,M,80000
BW-1065,Barry Weirich,4/8/2002,S,1517184000,F,80000
LA-16780,Laura Armstrong,26/10/1965,S,1488240000,F,80000
AB-10150,Aimee Bixby,23/4/1969,S,1513814400,F,70000
CM-12385,Christopher Martinez,14/3/1976,S,1448150400,M,70000
BE-11410,Bobby Elias,16/4/1978,S,1491782400,F,80000
SZ-20035,Sam Zeldin,29/4/1999,S,1520380800,M,80000
RM-19375,Raymond Messe,20/6/1956,S,1503619200,F,80000
HG-14845,Harry Greene,2/10/1950,S,1428019200,F,40000
DP-3105,Dave Poirier,14/9/1956,S,1539734400,M,160000
AR-10540,Andy Reiter,16/8/1987,M,1445731200,M,170000
TP-21415,Tom Prescott,27/2/1969,M,1479168000,F,120000
AM-10705,Anne McFarland,24/9/1982,S,1509926400,F,130000
AB-255,Alejandro Ballentine,3/2/1953,M,1494374400,F,130000
RP-19270,Rachel Payne,30/8/2003,S,1441929600,M,80000
BK-11260,Berenike Kampe,18/8/1985,S,1473206400,F,60000
JM-15250,Janet Martin,14/11/1950,M,1447632000,M,70000
LW-16990,Lindsay Williams,8/2/1998,M,1512086400,F,70000
NZ-18565,Nick Zandusky,14/1/1969,M,1497312000,M,80000
SV-10815,Stuart Van,5/11/1959,S,1565654400,F,80000
SC-20695,Steve Chapman,9/4/1957,S,1558483200,M,90000
NC-18625,Noah Childs,30/10/1992,M,1494374400,M,90000
NF-18385,Natalie Fritzler,8/5/1985,M,1531699200,F,90000
PM-18940,Paul MacIntyre,30/9/1959,M,1464912000,F,100000
MZ-17335,Maria Zettner,30/4/1988,S,1565136000,M,70000
HM-4980,Henry MacAllister,11/1/1993,S,1438560000,M,70000
RW-19540,Rick Wilson,9/9/1998,M,1471996800,M,60000
LH-17155,Logan Haushalter,15/10/1958,M,1522713600,M,60000
KM-16660,Khloe Miller,29/11/1981,S,1446336000,F,60000
AB-10060,Adam Bellavance,9/4/1973,M,1426377600,M,60000
DB-13060,Dave Brooks,6/1/2001,S,1428969600,F,60000
VM-21685,Valerie Mitchum,7/6/1987,S,1553817600,F,70000
DM-13525,Don Miller,30/12/1953,S,1475280000,F,80000
NM-18520,Neoma Murray,12/8/1966,S,1561334400,F,70000
RO-19780,Rose O'Brian,30/4/1985,M,1516492800,M,70000
SB-20185,Sarah Brown,25/9/2002,S,1456444800,F,70000
EM-14065,Erin Mull,9/10/1963,S,1520467200,M,70000
RS-19765,Roland Schwarz,5/12/1983,M,1474588800,F,90000
ON-18715,Odella Nelson,5/7/1958,S,1561075200,F,70000
VS-21820,Vivek Sundaresam,5/11/1951,S,1448928000,M,70000
CM-12115,Chad McGuire,1/7/1950,M,1432512000,M,60000
TB-21400,Tom Boeckenhauer,6/1/1963,M,1487289600,F,60000
AB-10105,Adrian Barton,28/6/1952,M,1434758400,F,60000
DW-13540,Don Weiss,26/2/1987,M,1539129600,M,70000
PS-19045,Penelope Sewall,28/8/1957,S,1495324800,F,70000
CC-12370,Christopher Conant,16/3/1995,M,1556496000,M,70000
TC-21295,Toby Carlisle,4/10/1953,M,1561248000,M,70000
GM-14440,Gary McGarr,24/3/1970,M,1450483200,F,70000
SV-20815,Stuart Van,25/10/1954,S,1442361600,M,80000
MM-17920,Michael Moore,7/4/1963,S,1426464000,M,30000
JK-16120,Julie Kriz,11/7/1953,S,1526342400,F,40000
DJ-13510,Don Jones,26/10/1965,M,1478390400,M,70000
AT-10435,Alyssa Tate,29/3/1968,M,1559692800,M,70000
AB-10015,Aaron Bergman,9/11/1989,M,1432166400,M,70000
RP-19390,Resi Pölking,19/5/1952,S,1475193600,M,80000
MJ-17740,Max Jones,22/5/1953,S,1443225600,F,70000
PV-18985,Paul Van Hugh,11/1/2002,M,1473811200,M,10000
SB-20290,Sean Braxton,18/2/1997,M,1553731200,F,40000
SM-10005,Sally Matthias,24/12/1977,M,1545868800,F,40000
KH-16330,Katharine Harms,2/12/1989,S,1424217600,F,40000
MP-18175,Mike Pelletier,20/10/1955,M,1504137600,F,30000
LH-17020,Lisa Hazard,28/11/1998,M,1489795200,F,30000
ND-18370,Natalie DeCherney,6/7/1965,S,1507766400,F,30000
CR-12625,Corey Roper,18/11/1966,S,1498348800,F,30000
GM-14680,Greg Matthias,10/2/1965,S,1444348800,M,10000
RA-19945,Ryan Akin,30/5/1978,S,1475971200,M,30000
BW-11110,Bart Watters,3/3/2001,S,1538265600,F,40000
RF-19735,Roland Fjeld,13/3/1975,M,1448668800,F,40000
AG-10675,Anna Gayman,25/8/1998,M,1481155200,F,40000
DM-12955,Dario Medina,31/8/1955,S,1468281600,F,30000
KD-16270,Karen Daniels,19/5/1984,S,1478995200,M,30000
BE-11335,Bill Eplett,16/10/2005,M,1502755200,F,40000
SO-20335,Sean O'Donnell,17/6/1976,S,1523059200,M,40000
DK-12835,Damala Kotsonis,23/9/1967,M,1560988800,M,40000
LC-7050,Liz Carlisle,30/6/1973,S,1520726400,M,40000
CG-12520,Claire Gute,18/5/1987,S,1473379200,F,40000
TB-21280,Toby Braunhardt,9/5/1951,S,1452384000,F,40000
HG-15025,Hunter Glantz,24/4/1978,M,1495497600,M,60000
AD-10180,Alan Dominguez,14/12/1950,M,1523059200,M,40000
BP-11155,Becky Pak,23/11/1981,M,1444521600,M,40000
AA-10480,Andrew Allen,22/10/1967,S,1432944000,M,40000
RL-19615,Rob Lucas,19/9/1951,S,1422748800,F,60000
CS-12505,Cindy Stewart,22/6/1982,S,1482278400,M,40000
SW-20245,Scot Wooten,5/5/1958,M,1480464000,F,40000
TA-21385,Tom Ashbrook,4/1/1964,S,1458259200,F,40000
YC-21895,Yoseph Carroll,24/1/1981,S,1427932800,M,40000
JM-15580,Jill Matthias,21/6/1968,S,1548288000,F,40000
MZ-7335,Maria Zettner,13/4/1963,M,1479427200,F,40000
JF-15295,Jason Fortune-,1/7/1966,S,1541376000,M,40000
JL-15835,John Lee,31/12/1982,S,1441238400,F,40000
DJ-3510,Don Jones,14/3/1999,S,1511654400,M,40000
MF-18250,Monica Federle,7/3/1973,S,1509580800,F,40000
JE-15610,Jim Epp,19/12/1950,S,1445731200,M,40000
CP-12340,Christine Phan,6/7/1999,M,1527379200,M,40000
EH-14125,Eugene Hildebrand,5/9/1958,S,1502582400,M,40000
NC-18340,Nat Carroll,30/9/1957,M,1469145600,F,60000
JS-16030,Joy Smith,2/6/1996,S,1428105600,F,70000
AM-10360,Alice McCarthy,23/9/1954,S,1429315200,F,80000
JF-15190,Jamie Frazer,30/5/1992,S,1555891200,M,80000
JG-15160,James Galang,18/12/1966,M,1428278400,M,90000
DP-13390,Dennis Pardue,21/11/1997,M,1430524800,F,90000
AG-10330,Alex Grayson,14/8/1956,S,1431907200,M,100000
GK-14620,Grace Kelly,1/6/1990,M,1422748800,F,100000
NF-18475,Neil Französisch,6/10/1990,S,1422144000,F,110000
DR-12940,Daniel Raglin,9/11/2004,M,1477094400,M,110000
NB-18655,Nona Balk,5/9/1963,S,1426809600,M,70000
NM-18445,Nathan Mautz,10/6/1987,M,1563580800,M,90000
NP-18670,Nora Paige,19/9/1951,M,1476662400,M,110000
SC-20380,Shahid Collister,31/5/1988,M,1432339200,M,100000
PA-9060,Pete Armstrong,8/11/1951,M,1473033600,F,120000
RB-19570,Rob Beeghly,7/12/1971,M,1521676800,F,160000
SR-20740,Steven Roelle,25/11/1972,M,1531699200,M,170000
RH-19510,Rick Huthwaite,10/9/2002,S,1480118400,F,70000
LH-16750,Larry Hughes,7/12/1966,S,1507075200,F,70000
KB-16585,Ken Black,22/4/1997,S,1501286400,F,70000
EM-13810,Eleni McCrary,15/6/1958,S,1532736000,F,70000
MZ-7515,Mary Zewe,25/7/1985,S,1485302400,F,70000
DM-13345,Denise Monton,3/2/1986,M,1520294400,F,60000
CA-11965,Carol Adams,2/8/1956,M,1480032000,F,60000
SC-20305,Sean Christensen,16/8/1969,S,1550534400,M,60000
MH-18115,Mick Hernandez,9/10/1974,M,1491436800,M,70000
KS-16300,Karen Seio,22/8/2001,S,1545091200,F,70000
BG-11740,Bruce Geld,12/4/1959,M,1543104000,M,60000
CR-2625,Corey Roper,30/10/1976,M,1493164800,M,60000
CB-12415,Christy Brittain,21/8/1979,M,1534636800,F,60000
AP-10720,Anne Pryor,8/9/1974,M,1483660800,F,60000
CR-12820,Cyra Reiten,17/11/1989,M,1426723200,M,60000
BF-11080,Bart Folk,25/12/1952,M,1534982400,F,70000
JM-15265,Janet Molinari,6/5/1991,S,1507680000,F,70000
TW-21025,Tamara Willingham,14/7/1992,M,1470096000,F,70000
RB-19330,Randy Bradley,1/12/1987,M,1544140800,M,70000
JA-15970,Joseph Airdo,14/6/1983,M,1445472000,F,70000
AB-60,Adam Bellavance,11/1/2005,M,1432425600,F,80000
JR-5670,Jim Radford,20/11/2003,M,1461283200,M,40000
MD-17350,Maribeth Dona,19/12/1971,M,1479513600,F,40000
PK-19075,Pete Kriz,16/9/1986,M,1503100800,F,40000
TP-21130,Theone Pippenger,13/10/1983,M,1484438400,M,60000
JK-15640,Jim Kriz,5/6/2003,S,1463616000,F,60000
CD-11920,Carlos Daly,21/6/1976,M,1507161600,F,60000
JL-5835,John Lee,1/3/1996,M,1429660800,F,60000
EP-13915,Emily Phan,6/5/1984,M,1506556800,M,70000
MS-17770,Maxwell Schwartz,2/6/1960,M,1422921600,F,40000
